Area construida;Area privada;Precio metro cuadrado;Precio administracion;Estrato;Antiguedad;Estado;Tamaño;Habitaciones;Baños;Parqueaderos;Precio
110;110;5000000;365000;6;4;3;110;3;3;2;550000000
76;72;4855263;343000;4;4;2;76;3;2;1;369000000
70;70;5642857;288000;4;4;3;70;2;2;1;395000000
70;67;5857143;280000;4;4;3;70;3;2;1;410000000
62;62;4354839;246000;4;5;2;62;2;2;1;270000000
281;281;13879004;2000000;6;3;2;281;3;4;4;3900000000
103;103;6699029;630000;5;2;3;103;2;3;2;690000000
182;182;3846154;380000;5;3;3;182;3;4;2;700000000
48;50;2895833;63000;3;2;2;48;2;2;1;139000000
47;44;2936170;65000;2;2;3;47;3;1;0;138000000
130;155;5769231;350000;5;4;3;130;3;3;2;750000000
105;105;3238095;259000;4;2;3;105;4;2;1;340000000
74;74;3648649;200000;3;3;3;74;2;2;2;270000000
80;80;11187500;600000;6;2;3;80;1;2;2;895000000
158;158;10126582;1070000;6;3;2;158;2;3;2;1600000000
82;79;4268293;233000;4;3;2;82;3;2;1;350000000
218;188;4174312;728000;6;3;2;218;3;3;2;910000000
54;49;3055556;90000;3;1;3;54;3;1;0;165000000
104;104;5913462;360000;5;3;3;104;3;2;2;615000000
141;138;5673759;347000;4;2;3;141;3;4;2;800000000
210;210;4566667;160000;4;5;2;210;4;4;2;959000000
124;124;3508065;140000;4;5;1;124;3;2;1;435000000
107;104;5887850;523000;5;2;3;107;3;3;2;630000000
114;70;5438596;560000;6;3;3;114;2;2;2;620000000
110;111;3845110;407000;4;4;2;110;4;2;2;425000000
124;124;3467742;204000;4;5;2;124;4;2;0;430000000
149;149;3926174;633000;5;5;3;149;3;2;1;585000000
85;75;4094118;290000;4;3;3;85;3;2;1;348000000
29;29;5802048;291600;4;4;3;29;1;1;1;170000000
150;150;3533333;424000;5;5;2;150;3;2;1;530000000
163;150;5582822;900000;6;4;3;163;2;3;2;910000000
243;100;2798354;100;2;4;1;243;5;3;0;680000000
500;350;7500000;1600000;6;5;3;500;2;3;3;3750000000
62;56;2258065;90000;3;2;2;62;3;2;0;140000000
76;70;2236842;98000;3;3;2;76;4;2;0;170000000
112;103;4446429;586000;4;4;2;112;3;3;2;498000000
56;56;3035714;86400;3;4;2;56;2;3;0;170000000
